序号,所在目录,标题,标题末尾,标题链接,标题链接末尾路径,标签,网站题解链接,github 题解链接,通过率,难度,题解数目
0096,0001-0099,0096. 不同的二叉搜索树,不同的二叉搜索树,https://leetcode.com/problems/unique-binary-search-trees/,unique-binary-search-trees,树、二叉搜索树、数学、动态规划、二叉树,https://2xiao.github.io/fe/leetcode/problem/0096,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0096.md,70.9%,中等,2502
0097,0001-0099,0097. 交错字符串,交错字符串,https://leetcode.com/problems/interleaving-string/,interleaving-string,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0097,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0097.md,44.7%,中等,888
0098,0001-0099,0098. 验证二叉搜索树,验证二叉搜索树,https://leetcode.com/problems/validate-binary-search-tree/,validate-binary-search-tree,树、深度优先搜索、二叉搜索树、二叉树,https://2xiao.github.io/fe/leetcode/problem/0098,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0098.md,37.0%,中等,4035
0099,0001-0099,0099. 恢复二叉搜索树,恢复二叉搜索树,https://leetcode.com/problems/recover-binary-search-tree/,recover-binary-search-tree,树、深度优先搜索、二叉搜索树、二叉树,https://2xiao.github.io/fe/leetcode/problem/0099,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0099.md,60.3%,中等,1091
0100,0100-0199,0100. 相同的树,相同的树,https://leetcode.com/problems/same-tree/,same-tree,树、深度优先搜索、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0100,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0100.md,60.0%,简单,3145
0101,0100-0199,0101. 对称二叉树,对称二叉树,https://leetcode.com/problems/symmetric-tree/,symmetric-tree,树、深度优先搜索、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0101,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0101.md,58.8%,简单,4297
0102,0100-0199,0102. 二叉树的层序遍历,二叉树的层序遍历,https://leetcode.com/problems/binary-tree-level-order-traversal/,binary-tree-level-order-traversal,树、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0102,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0102.md,65.6%,中等,4512
0103,0100-0199,0103. 二叉树的锯齿形层序遍历,二叉树的锯齿形层序遍历,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,binary-tree-zigzag-level-order-traversal,树、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0103,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0103.md,57.5%,中等,2476
0104,0100-0199,0104. 二叉树的最大深度,二叉树的最大深度,https://leetcode.com/problems/maximum-depth-of-binary-tree/,maximum-depth-of-binary-tree,树、深度优先搜索、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0104,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0104.md,77.1%,简单,5159
0105,0100-0199,0105. 从前序与中序遍历序列构造二叉树,从前序与中序遍历序列构造二叉树,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,construct-binary-tree-from-preorder-and-inorder-traversal,树、数组、哈希表、分治、二叉树,https://2xiao.github.io/fe/leetcode/problem/0105,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0105.md,71.3%,中等,2626
0106,0100-0199,0106. 从中序与后序遍历序列构造二叉树,从中序与后序遍历序列构造二叉树,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,construct-binary-tree-from-inorder-and-postorder-traversal,树、数组、哈希表、分治、二叉树,https://2xiao.github.io/fe/leetcode/problem/0106,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0106.md,72.1%,中等,1737
0107,0100-0199,0107. 二叉树的层序遍历 II,二叉树的层序遍历 II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,binary-tree-level-order-traversal-ii,树、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0107,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0107.md,72.5%,中等,1973
0108,0100-0199,0108. 将有序数组转换为二叉搜索树,将有序数组转换为二叉搜索树,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,convert-sorted-array-to-binary-search-tree,树、二叉搜索树、数组、分治、二叉树,https://2xiao.github.io/fe/leetcode/problem/0108,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0108.md,77.4%,简单,2082
0109,0100-0199,0109. 有序链表转换二叉搜索树,有序链表转换二叉搜索树,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,convert-sorted-list-to-binary-search-tree,树、二叉搜索树、链表、分治、二叉树,https://2xiao.github.io/fe/leetcode/problem/0109,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0109.md,76.5%,中等,1116
0110,0100-0199,0110. 平衡二叉树,平衡二叉树,https://leetcode.com/problems/balanced-binary-tree/,balanced-binary-tree,树、深度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0110,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0110.md,57.5%,简单,2586
0111,0100-0199,0111. 二叉树的最小深度,二叉树的最小深度,https://leetcode.com/problems/minimum-depth-of-binary-tree/,minimum-depth-of-binary-tree,树、深度优先搜索、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0111,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0111.md,52.2%,简单,3859
0112,0100-0199,0112. 路径总和,路径总和,https://leetcode.com/problems/path-sum/,path-sum,树、深度优先搜索、广度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0112,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0112.md,53.5%,简单,3126
0113,0100-0199,0113. 路径总和 II,路径总和 II,https://leetcode.com/problems/path-sum-ii/,path-sum-ii,树、深度优先搜索、回溯、二叉树,https://2xiao.github.io/fe/leetcode/problem/0113,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0113.md,63.2%,中等,2216
0114,0100-0199,0114. 二叉树展开为链表,二叉树展开为链表,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,flatten-binary-tree-to-linked-list,栈、树、深度优先搜索、链表、二叉树,https://2xiao.github.io/fe/leetcode/problem/0114,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0114.md,73.0%,中等,2921
0115,0100-0199,0115. 不同的子序列,不同的子序列,https://leetcode.com/problems/distinct-subsequences/,distinct-subsequences,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0115,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0115.md,52.2%,困难,1251
0116,0100-0199,0116. 填充每个节点的下一个右侧节点指针,填充每个节点的下一个右侧节点指针,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,populating-next-right-pointers-in-each-node,树、深度优先搜索、广度优先搜索、链表、二叉树,https://2xiao.github.io/fe/leetcode/problem/0116,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0116.md,72.6%,中等,2653
0117,0100-0199,0117. 填充每个节点的下一个右侧节点指针 II,填充每个节点的下一个右侧节点指针 II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,populating-next-right-pointers-in-each-node-ii,树、深度优先搜索、广度优先搜索、链表、二叉树,https://2xiao.github.io/fe/leetcode/problem/0117,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0117.md,65.8%,中等,1378
0118,0100-0199,0118. 杨辉三角,杨辉三角,https://leetcode.com/problems/pascals-triangle/,pascals-triangle,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/0118,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0118.md,75.5%,简单,3186
0119,0100-0199,0119. 杨辉三角 II,杨辉三角 II,https://leetcode.com/problems/pascals-triangle-ii/,pascals-triangle-ii,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/0119,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0119.md,68.9%,简单,2067
0120,0100-0199,0120. 三角形最小路径和,三角形最小路径和,https://leetcode.com/problems/triangle/,triangle,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/0120,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0120.md,68.7%,中等,2422
0121,0100-0199,0121. 买卖股票的最佳时机,买卖股票的最佳时机,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,best-time-to-buy-and-sell-stock,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/0121,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0121.md,58.0%,简单,6175
0122,0100-0199,0122. 买卖股票的最佳时机 II,买卖股票的最佳时机 II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,best-time-to-buy-and-sell-stock-ii,贪心、数组,https://2xiao.github.io/fe/leetcode/problem/0122,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0122.md,72.0%,中等,4616
0123,0100-0199,0123. 买卖股票的最佳时机 III,买卖股票的最佳时机 III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,best-time-to-buy-and-sell-stock-iii,数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/0123,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0123.md,58.8%,困难,1475
0124,0100-0199,0124. 二叉树中的最大路径和,二叉树中的最大路径和,https://leetcode.com/problems/binary-tree-maximum-path-sum/,binary-tree-maximum-path-sum,树、深度优先搜索、动态规划、二叉树,https://2xiao.github.io/fe/leetcode/problem/0124,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0124.md,45.3%,困难,1948
0125,0100-0199,0125. 验证回文串,验证回文串,https://leetcode.com/problems/valid-palindrome/,valid-palindrome,双指针、字符串,https://2xiao.github.io/fe/leetcode/problem/0125,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0125.md,46.4%,简单,2976
0126,0100-0199,0126. 单词接龙 II,单词接龙 II,https://leetcode.com/problems/word-ladder-ii/,word-ladder-ii,广度优先搜索、哈希表、字符串、回溯,https://2xiao.github.io/fe/leetcode/problem/0126,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0126.md,37.9%,困难,493
0127,0100-0199,0127. 单词接龙,单词接龙,https://leetcode.com/problems/word-ladder/,word-ladder,广度优先搜索、哈希表、字符串,https://2xiao.github.io/fe/leetcode/problem/0127,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0127.md,48.3%,困难,1008
0128,0100-0199,0128. 最长连续序列,最长连续序列,https://leetcode.com/problems/longest-consecutive-sequence/,longest-consecutive-sequence,并查集、数组、哈希表,https://2xiao.github.io/fe/leetcode/problem/0128,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0128.md,54.7%,中等,2349
0129,0100-0199,0129. 求根节点到叶节点数字之和,求根节点到叶节点数字之和,https://leetcode.com/problems/sum-root-to-leaf-numbers/,sum-root-to-leaf-numbers,树、深度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0129,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0129.md,70.1%,中等,1772
0130,0100-0199,0130. 被围绕的区域,被围绕的区域,https://leetcode.com/problems/surrounded-regions/,surrounded-regions,深度优先搜索、广度优先搜索、并查集、数组、矩阵,https://2xiao.github.io/fe/leetcode/problem/0130,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0130.md,46.2%,中等,2210
0131,0100-0199,0131. 分割回文串,分割回文串,https://leetcode.com/problems/palindrome-partitioning/,palindrome-partitioning,字符串、动态规划、回溯,https://2xiao.github.io/fe/leetcode/problem/0131,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0131.md,73.4%,中等,1739
0132,0100-0199,0132. 分割回文串 II,分割回文串 II,https://leetcode.com/problems/palindrome-partitioning-ii/,palindrome-partitioning-ii,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0132,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0132.md,49.9%,困难,621
0133,0100-0199,0133. 克隆图,克隆图,https://leetcode.com/problems/clone-graph/,clone-graph,深度优先搜索、广度优先搜索、图、哈希表,https://2xiao.github.io/fe/leetcode/problem/0133,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0133.md,69.0%,中等,805
0134,0100-0199,0134. 加油站,加油站,https://leetcode.com/problems/gas-station/,gas-station,贪心、数组,https://2xiao.github.io/fe/leetcode/problem/0134,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0134.md,51.3%,中等,1732
0135,0100-0199,0135. 分发糖果,分发糖果,https://leetcode.com/problems/candy/,candy,贪心、数组,https://2xiao.github.io/fe/leetcode/problem/0135,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0135.md,50.5%,困难,1557
0136,0100-0199,0136. 只出现一次的数字,只出现一次的数字,https://leetcode.com/problems/single-number/,single-number,位运算、数组,https://2xiao.github.io/fe/leetcode/problem/0136,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0136.md,72.3%,简单,4067
0137,0100-0199,0137. 只出现一次的数字 II,只出现一次的数字 II,https://leetcode.com/problems/single-number-ii/,single-number-ii,位运算、数组,https://2xiao.github.io/fe/leetcode/problem/0137,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0137.md,71.8%,中等,1089
0138,0100-0199,0138. 复制带随机指针的链表,复制带随机指针的链表,https://leetcode.com/problems/copy-list-with-random-pointer/,copy-list-with-random-pointer,哈希表、链表,https://2xiao.github.io/fe/leetcode/problem/0138,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0138.md,66.0%,中等,1403
0139,0100-0199,0139. 单词拆分,单词拆分,https://leetcode.com/problems/word-break/,word-break,字典树、记忆化搜索、数组、哈希表、字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0139,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0139.md,54.2%,中等,2500
0140,0100-0199,0140. 单词拆分 II,单词拆分 II,https://leetcode.com/problems/word-break-ii/,word-break-ii,字典树、记忆化搜索、数组、哈希表、字符串、动态规划、回溯,https://2xiao.github.io/fe/leetcode/problem/0140,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0140.md,57.2%,困难,996
0141,0100-0199,0141. 环形链表,环形链表,https://leetcode.com/problems/linked-list-cycle/,linked-list-cycle,哈希表、链表、双指针,https://2xiao.github.io/fe/leetcode/problem/0141,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0141.md,51.6%,简单,5009
0142,0100-0199,0142. 环形链表 II,环形链表 II,https://leetcode.com/problems/linked-list-cycle-ii/,linked-list-cycle-ii,哈希表、链表、双指针,https://2xiao.github.io/fe/leetcode/problem/0142,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0142.md,57.1%,中等,3798
0143,0100-0199,0143. 重排链表,重排链表,https://leetcode.com/problems/reorder-list/,reorder-list,栈、递归、链表、双指针,https://2xiao.github.io/fe/leetcode/problem/0143,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0143.md,64.9%,中等,1851
0144,0100-0199,0144. 二叉树的前序遍历,二叉树的前序遍历,https://leetcode.com/problems/binary-tree-preorder-traversal/,binary-tree-preorder-traversal,栈、树、深度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0144,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0144.md,71.3%,简单,3566
0145,0100-0199,0145. 二叉树的后序遍历,二叉树的后序遍历,https://leetcode.com/problems/binary-tree-postorder-traversal/,binary-tree-postorder-traversal,栈、树、深度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0145,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0145.md,76.3%,简单,2714
0146,0100-0199,0146. LRU 缓存,LRU 缓存,https://leetcode.com/problems/lru-cache/,lru-cache,设计、哈希表、链表、双向链表,https://2xiao.github.io/fe/leetcode/problem/0146,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0146.md,53.5%,中等,3603
